CH1,CH2,CH3,CH4,CH5,CH6,label,type
41335,40885,41220,41300,41382,41443,0,train
41313,40897,41236,41293,41416,41426,0,train
41281,40933,41255,41360,41472,41407,0,train
41297,40948,41227,41395,41403,41429,0,train
41280,40918,41251,41370,41344,41435,0,train
41276,40885,41242,41374,41241,41429,0,train
41315,40908,41236,41355,41175,41426,0,train
41297,40941,41253,41324,41147,41429,0,train
41283,40992,41231,41317,41155,41436,0,train
41338,40951,41243,41364,41153,41456,0,train
41302,40923,41231,41359,41216,41430,0,train
41303,40951,41232,41376,41314,41451,0,train
41350,40968,41188,41363,41297,41493,0,train
41387,40940,41201,41351,41347,41502,0,train
41327,40978,41228,41300,41157,41472,0,train
41316,40967,41230,41342,40970,41447,0,train
41278,40986,41240,41335,41018,41448,0,train
41318,40956,41217,41338,41036,41475,0,train
41346,40959,41218,41322,40996,41442,0,train
41314,40974,41236,41313,40984,41448,0,train
41348,40946,41255,41314,41009,41469,0,train
41342,40970,41238,41282,41047,41450,0,train
41357,40970,41218,41302,41065,41474,0,train
41371,40948,41242,41323,41088,41464,0,train
41370,40901,41227,41318,41103,41457,0,train
41349,40936,41241,41303,41072,41466,0,train
41360,40952,41231,41312,41102,41468,0,train
41368,40876,41228,41353,41180,41464,0,train
41364,40861,41202,41336,41167,41474,0,train
41403,40848,41205,41330,41225,41486,0,train
41390,40827,41216,41330,41195,41475,0,train
41352,40889,41205,41338,41185,41493,0,train
41358,40933,41217,41317,41109,41483,0,train
41335,40973,41249,41275,40944,41472,0,train
41325,40958,41245,41295,40846,41438,0,train
41329,40905,41269,41335,40854,41425,0,train
41373,40892,41222,41344,40939,41449,0,train
41381,40857,41236,41350,41060,41441,0,train
41376,40848,41225,41383,41154,41445,0,train
41375,40936,41223,41308,41132,41456,0,train
41350,40960,41233,41321,41081,41427,0,train
41347,40914,41257,41338,40983,41433,0,train
41269,40900,41243,41333,40890,41410,0,train
41234,40916,41229,41306,40905,41475,0,train
41321,40914,41243,41265,41100,41547,0,train
41384,40923,41220,41291,41306,41492,0,train
41324,40980,41233,41302,41386,41438,0,train
41302,40950,41252,41302,41332,41426,0,train
41338,40912,41245,41296,41363,41438,0,train
41465,40930,41205,41338,41497,41506,0,train
41453,40924,41192,41322,41190,41530,0,train
41277,40999,41237,41272,40618,41478,0,train
41228,41104,41222,41243,40463,41466,0,train
41298,41059,41200,41273,40786,41451,0,train
41366,40946,41207,41286,41134,41453,0,train
41328,40857,41233,41339,41180,41437,0,train
41325,40805,41234,41399,41095,41432,0,train
41338,40854,41220,41344,41050,41449,0,train
41341,40891,41224,41319,41116,41464,0,train
41318,40838,41258,41363,41195,41458,0,train
41293,40808,41264,41370,41296,41431,0,train
41305,40914,41239,41288,41324,41425,0,train
41363,40919,41233,41269,41228,41406,0,train
41371,40855,41210,41298,40951,41464,0,train
41356,40840,41186,41324,40875,41461,0,train
41374,40902,41198,41326,40990,41482,0,train
41384,40848,41228,41385,41074,41494,0,train
41296,40851,41213,41382,41112,41437,0,train
41334,40864,41233,41370,41184,41443,0,train
41342,40846,41235,41328,41278,41461,0,train
41332,40811,41235,41344,41304,41469,0,train
41367,40842,41222,41322,41292,41460,0,train
41287,40836,41239,41295,41147,41434,0,train
41272,40807,41293,41322,40985,41440,0,train
41328,40838,41277,41351,40950,41429,0,train
41344,40898,41207,41342,41146,41451,0,train
41394,40938,41198,41325,41616,41520,0,train
41353,40877,41193,41342,41420,41488,0,train
41290,40897,41213,41304,40897,41444,0,train
41293,40912,41263,41287,40781,41425,0,train
41302,41064,41224,41289,40891,41452,0,train
41302,41131,41212,41340,40903,41462,0,train
41328,41088,41223,41346,40877,41454,0,train
41328,41015,41235,41317,40934,41420,0,train
41371,41004,41225,41347,41056,41461,0,train
41352,40926,41230,41307,41092,41485,0,train
41290,40906,41224,41303,40997,41451,0,train
41223,40944,41241,41362,40969,41447,0,train
41295,40916,41255,41374,40974,41452,0,train
41314,40979,41244,41346,41061,41428,0,train
41316,40972,41259,41302,41165,41427,0,train
41293,40946,41230,41349,41247,41418,0,train
41331,40986,41255,41315,41241,41434,0,train
41453,40994,41197,41289,41279,41500,0,train
41571,40921,41128,41374,41365,41562,0,train
41431,40885,41153,41392,40907,41529,0,train
41264,40887,41221,41387,40805,41425,0,train
41233,40869,41258,41345,41208,41403,0,train
41252,40873,41260,41334,41361,41410,0,train
41313,40865,41238,41345,41196,41408,0,train
41298,40827,41237,41322,41003,41414,0,train
41342,40826,41222,41329,40857,41432,0,train
41415,40845,41235,41353,40986,41435,0,train
41379,40899,41236,41299,41180,41437,0,train
41365,40925,41286,41278,41378,41437,0,train
41362,40875,41244,41308,41480,41440,0,train
41430,40848,41216,41294,41570,41462,0,train
41418,40926,41208,41257,41440,41476,0,train
41346,40914,41210,41296,40898,41470,0,train
41305,40867,41186,41389,40456,41430,0,train
41202,40940,41222,41330,40402,41482,0,train
41238,40971,41240,41289,40737,41500,0,train
41405,40957,41216,41272,41063,41513,0,train
41449,40837,41243,41304,41347,41479,0,train
41371,40840,41234,41317,41489,41442,0,train
41350,40898,41239,41300,41640,41456,0,train
41312,40930,41262,41257,41588,41444,0,train
41339,40915,41219,41242,41077,41467,0,train
41349,40941,41227,41275,40470,41455,0,train
41365,40923,41220,41352,40203,41483,0,train
41336,40956,41209,41358,40404,41451,0,train
41356,40990,41215,41321,40880,41465,0,train
41315,41026,41243,41282,41283,41456,0,train
41283,41003,41214,41333,41376,41443,0,train
41287,40999,41215,41338,41277,41432,0,train
41312,40991,41231,41362,41125,41435,0,train
41319,40913,41222,41379,41015,41440,0,train
41294,40957,41230,41360,40920,41451,0,train
41321,40957,41234,41366,40833,41454,0,train
41299,40960,41241,41320,40898,41449,0,train
41302,40917,41244,41356,40950,41455,0,train
41306,40898,41262,41325,40982,41446,0,train
41311,40937,41252,41318,41205,41409,0,train
41352,40926,41241,41350,41363,41458,0,train
41408,40888,41209,41378,41338,41490,0,train
41431,40898,41180,41322,41525,41534,0,train
41380,40918,41194,41289,41360,41521,0,train
41287,40893,41206,41351,40937,41457,0,train
41260,40864,41237,41384,40797,41396,0,train
41237,40906,41272,41338,41131,41387,0,train
41262,40953,41257,41312,41436,41418,0,train
41322,40922,41248,41357,41396,41448,0,train
41304,40986,41266,41318,41300,41447,0,train
41243,40997,41224,41318,41276,41448,0,train
41291,40963,41214,41313,41191,41463,0,train
41331,40903,41222,41337,41188,41448,0,train
41364,40893,41230,41361,41253,41444,0,train
41332,40914,41261,41319,41268,41435,0,train
41327,40921,41261,41290,41346,41440,0,train
41423,40886,41237,41272,41547,41467,0,train
41432,40903,41255,41265,41405,41468,0,train
41341,40886,41252,41325,41205,41447,0,train
41319,40857,41224,41393,40990,41412,0,train
41417,40894,41183,41342,41299,41508,0,train
41477,40913,41178,41323,41978,41586,0,train
41484,40864,41156,41364,41816,41619,0,train
41335,40876,41196,41328,40910,41525,0,train
41237,40904,41232,41325,40439,41409,0,train
41260,40833,41243,41410,40624,41396,0,train
41288,40865,41226,41381,40848,41409,0,train
41362,40916,41228,41301,40843,41432,0,train
41350,40940,41255,41265,40840,41416,0,train
41367,40891,41243,41312,40930,41440,0,train
41369,40854,41240,41320,41003,41441,0,train
41389,40825,41216,41335,41052,41451,0,train
41354,40857,41218,41340,41219,41459,0,train
41371,40866,41225,41345,41337,41482,0,train
41364,40882,41236,41310,41275,41460,0,train
41324,40907,41251,41304,41105,41456,0,train
41333,40917,41218,41317,40974,41477,0,train
41354,40936,41216,41310,40918,41438,0,train
41329,40977,41223,41309,40867,41467,0,train
41352,40962,41195,41318,40908,41484,0,train
41352,40876,41201,41363,41045,41492,0,train
41299,40939,41238,41296,41078,41489,0,train
41289,40950,41252,41322,41059,41467,0,train
41330,40972,41241,41331,40979,41431,0,train
41326,40939,41249,41292,40997,41427,0,train
41252,40924,41235,41305,40973,41406,0,train
41223,40936,41216,41307,40993,41417,0,train
41299,40960,41209,41269,41235,41484,0,train
41333,40951,41227,41261,41516,41491,0,train
41358,40959,41254,41307,41525,41460,0,train
41385,40925,41244,41358,41364,41465,0,train
41310,40932,41256,41368,41057,41403,0,train
41291,40968,41233,41328,40758,41409,0,train
41318,41030,41217,41297,40497,41427,0,train
41307,41071,41217,41312,40774,41434,0,train
41264,41112,41260,41277,41210,41435,0,train
41290,41007,41253,41313,41284,41448,0,train
41326,40884,41261,41371,41086,41431,0,train
41342,40883,41252,41374,40798,41475,0,train
41379,40862,41243,41397,40382,41482,0,train
41453,40866,41226,41371,40645,41484,0,train
41391,40865,41227,41352,40931,41462,0,train
41334,40926,41216,41306,40964,41447,0,train
41352,40870,41208,41332,41171,41476,0,train
41401,40833,41204,41367,41540,41510,0,train
41464,40859,41236,41349,41820,41509,0,train
41399,40916,41240,41348,41329,41498,0,train
41304,40963,41225,41305,40771,41504,0,train
41274,40858,41219,41379,40827,41426,0,train
41240,40856,41221,41384,40971,41379,0,train
41265,40903,41262,41312,41149,41419,0,train
41303,41042,41237,41289,41180,41444,0,train
41342,41061,41271,41287,41173,41451,0,train
41361,41022,41242,41226,41173,41454,0,train
41385,40910,41216,41254,41094,41492,0,train
41355,40824,41246,41308,41124,41493,0,train
41336,40812,41227,41319,41185,41483,0,train
41331,40886,41211,41316,41184,41453,0,train
41309,40856,41215,41334,41252,41438,0,train
41330,40833,41252,41320,41326,41450,0,train
41332,40854,41229,41314,41186,41455,0,train
41344,40880,41238,41300,41080,41453,0,train
41373,40893,41191,41335,41021,41465,0,train
41444,40856,41152,41370,40762,41484,0,train
41417,40841,41188,41375,40787,41493,0,train
41338,40829,41208,41325,41116,41472,0,train
41203,40842,41261,41347,41173,41444,0,train
41184,40799,41248,41323,40999,41439,0,train
41209,40777,41241,41292,40950,41422,0,train
41294,40738,41231,41338,41162,41437,0,train
