CH1,CH2,CH3,CH4,CH5,CH6,label,type
40925,41144,41437,40932,40077,41110,0,train
40917,41126,41293,40937,40509,41127,0,train
40910,41122,41150,40939,40901,41136,0,train
40914,41135,41020,40957,41272,41148,0,train
40913,41126,40923,40951,41572,41155,0,train
40916,41127,40836,40961,41796,41144,0,train
40908,41124,40776,40974,41963,41162,0,train
40917,41125,40739,40966,42059,41174,0,train
40922,41124,40725,40979,42095,41159,0,train
40910,41123,40720,40983,42087,41168,0,train
40906,41124,40733,40978,42049,41162,0,train
40913,41122,40753,40985,41976,41155,0,train
40917,41122,40760,40980,41880,41146,0,train
40903,41128,40794,40982,41764,41150,0,train
40906,41116,40846,40977,41592,41136,0,train
40902,41125,40917,40970,41206,41143,0,train
40907,41128,41064,40963,39915,41131,0,train
40907,41131,41245,40945,38719,41104,0,train
40914,41127,41625,40937,38804,41091,0,train
40911,41122,42021,40940,39481,41096,0,train
40909,41129,42041,40926,40071,41088,0,train
40908,41127,41670,40933,40606,41115,0,train
40920,41140,41085,40947,41069,41140,0,train
40906,41124,40369,40989,41541,41157,0,train
40907,41121,39714,41016,42259,41184,0,train
40916,41134,40065,40999,42624,41179,0,train
40917,41113,40821,40979,42561,41159,0,train
40923,41126,41261,40973,41790,41142,0,train
40900,41122,41441,40958,40469,41122,0,train
40900,41123,41468,40950,39790,41139,0,train
40923,41135,41458,40948,39747,41129,0,train
40914,41121,41374,40940,39954,41116,0,train
40914,41122,41270,40950,40298,41122,0,train
40918,41127,41157,40947,40686,41127,0,train
40901,41131,41045,40966,41057,41133,0,train
40909,41115,40925,40973,41390,41149,0,train
40913,41128,40848,40966,41640,41160,0,train
40906,41109,40795,40971,41848,41157,0,train
40908,41126,40759,40980,41988,41170,0,train
40904,41138,40731,40984,42064,41166,0,train
40906,41135,40731,40985,42093,41173,0,train
40915,41123,40720,40970,42063,41160,0,train
40916,41120,40728,40980,42016,41171,0,train
40922,41126,40752,40979,41948,41172,0,train
